ParlaMint-NO_2015-02-18.ana.ud2278e26	The called alternate of Hedmark County, Hege Jensen, has taken the seat.
ParlaMint-NO_2015-02-18.ana.ud2278e1214	Reading action plan 2010–2014 had many measures that focused on reading motivation and read stimulation. The association!les was therefore a natural supporter and also received support from, among others. Directorate of Education for his work. In 2015, before summer, a new read and write strategy is to be launched. I see the need for a renewed and comprehensive effort that includes both kindergarten and school. This is a work that is going on now, and I will do some new grip in the future strategy. In the last few years, Norway has had fewer students with low reading skills in the international studies PIRLS and PISA. That's good, but we still have a good piece left. The evidence base suggests that Norwegian students, in particular boys and minority language students, continue to face challenges with their reading. In addition, we know that many students are struggling with different levels of reading and writing difficulties. I would therefore like to focus the measures in the strategy more on these groups. The resources of the strategy will be used more to develop skills among both kindergarten teachers and teachers in order to better assist precisely those groups that we know need more support to become good readers and printers. In this work, we will use research-based tools and have therefore committed the Reading Centre to developing resources to be used in the development of competences. As I said, the new strategy is under way, and we are in dialogue with the Education Directorate and the Reading Centre on the content and design of the strategy. What will be included in it is still not entirely decided, but I want to focus more on skills development in order to better care for children and students who need to strengthen their skills in reading and writing. The actions of the strategy shall support the objectives in various ways. The State may not be the guarantor of funds to different organisations. Having said that, I would like to take this opportunity to recall that the Ministry of Knowledge has two grant schemes aimed at contributing to the support of private and non-governmental organisations and from which associations can apply for funding. Of course, the association!les can also apply for funds from there. Having said that, I would like to stress once again that this strategy is under way, and that what is going to be in it is not yet determined, or not in it.
ParlaMint-NO_2015-02-18.ana.ud2278e1233	I thank you for your answer. The government and the majority of the population have been involved in cooperating with voluntary and private actors. The association!les has been an important contributor to dyslexia and general literacy for many years. The association operates very efficiently because it has experience, has strong links with the book industry and contributes significantly through both support, greatly reduced fees, free books and good distribution agreements. This cooperation has given schools throughout the country the opportunity to benefit from a voluntary organisation’s network, competence and experience, which in turn has benefited students through better and more organised education. Does the Council agree that this type of cooperation is something you should have more of? And how, in his work on the Reading Strategy and in other ways, will he help to make it possible for voluntary and private actors with valuable skills to contribute?
ParlaMint-NO_2015-02-18.ana.ud2278e1244	I fully agree that it is important to attract non-governmental organisations, such as NGOs. The association!les. That's also why we have support schemes for the kind of organisations that work with the apprenticeships in school. I believe that when there is a new read strategy, we need to assess from time to time what means we should use. It's quite natural, I think something else would be funny. When we've said that there are some groups that we're particularly concerned about, for example. Boys and children from minority families, it is also natural to look at whether the means we have today, and the support we give today, meet these groups well enough. How this will turn out for individual organisations, it is not possible for me to say anything about it now, but that such an assessment must be made, I believe it is a matter of course. Even if you do good work, you're not guaranteed an eternal right to be part of a public strategy.
ParlaMint-NO_2015-02-18.ana.ud2278e1253	I thank you again for the answer. Dyslexia represents for many a serious obstacle in everyday life. It may be particularly true for people with dyslexia who went to school a while ago, before taking this issue seriously and getting more organized education and other measures. Today, there are very few jobs and professions that do not require some form of literacy. Also among the minority population, lack of literacy — whether due to dyslexia or other conditions — can be a barrier to entering the labour market. Does the Minister of Knowledge consider that there is a need for increased efforts towards adult dyslexics and other adults who do not have sufficient literacy skills? And how does he see to it that we can take care of it?
ParlaMint-NO_2015-02-18.ana.ud2278e1264	The short answer is yes. The slightly longer answer is that this is one of the major issues that the Department is now working with the Ministry of Children, Gender and Inclusion and the Ministry of Labour and Social Affairs on, which will result in a big message such as: is about adults and basic skills. Governments and cooperation parties have also made important contributions to this, for example: by providing a small amount of money to develop a monitoring tool to identify adults who need any help. Although the BKA Basic Competence Scheme in Work [[BKF]]
ParlaMint-NO_2015-02-18.ana.ud2278e1281	The President will only recall that the public – who may follow this on a form or on screen – should be informed of the meaning of the abbreviations. Let's move on to the next question.
ParlaMint-NO_2015-02-18.ana.ud2278e1290	‘There is a major debate on the structure of higher education. The Council of State initially wants voluntary mergers and has asked the institutions to determine what they should be and who they consider to be good candidates for mergers for professional reasons. In the West, none of the institutions wanted to go for a Western university. If there is genuine volunteering and quality to be taken into account, why does the Council of State choose to contact the University of Bergen to review this option?’
ParlaMint-NO_2015-02-18.ana.ud2278e1297	The debate on the structure of the higher education sector has been going on for decades, with varying degrees of intensity. In 2006, the Government of Stoltenberg appointed the so-called Stjernø Committee to ‘propose measures to ensure that the structure of universities and higher education institutions contributes to meeting society’s needs and ensures good use of resources’. The whole sector then agreed to the diagnosis and description of the situation, but not to the measures, which were a proposal for eight to ten sub-national universities. Instead of following up the measures of the Star Island Committee, the Red-Green Government initiated SAC processes related to cooperation, division of labour and concentration. I believe that SAK work has been useful, but that it has largely exhausted its potential. I have therefore initiated a structural reform. The government has high ambitions and objectives for higher education and research. The Norwegian university and higher education sectors have combined good quality, but also a number of challenges, in particular linked to small and vulnerable environments and many scattered, small training offers with failed recruitment. It is also for many institutions that compete for the same students and offer the same education. Today, we are disseminating resources for research and higher education for thinr purposes, and the total international participation is also lower than the resource base. Structural messaging has been an open and inclusive process in which all state institutions have been given the opportunity to play an active role. The aim has been to give institutions the opportunity to contribute to the challenges facing the UH sector as a whole. Dialogue meetings and input from institutions have been valuable. Institutions have taken the task seriously, and many have suggested that they join forces with others in order to become stronger. The representative Aasen points out that none of the institutions in the West wanted to go for a Western University, and asks why I have contacted the University of Bergen to ask them to look at this option again. However, what is the case is that some institutions now make different assessments than they did earlier in the process. It is natural when they see the plans of other institutions. Some institutions have indicated that they will make a new assessment when they see what others are doing, and the results of the structural reform are coming into effect. The High School in Sogn and Fjordane will open in its Governing Decision on 5 February to establish a multi-campus university in the West if the University of Bergen is present from the start. I keep in touch with all the institutions. In front of the University of Bergen, I have pointed out the proposals that have come from other institutions, and encouraged the university to look at previous positions in the light of this. I want to listen to the assessments the university makes, but I have also signaled that the UiB is robust and strong enough to stand alone and move on on their own if they wish.
ParlaMint-NO_2015-02-18.ana.ud2278e1310	I thank you for your answer. It is true that there has been a long-term job with a more appropriate structure in higher education, as the Council of State describes. The red-green government established, as is right, SAK, cooperation, division of labour and concentration, and this government has added an s, for ‘combination’. The Labour Party supports the intention of these changes – to underline it – and that the objective must be higher quality in research and higher education, which hopefully will lead to stronger trade unions. It is the institutions themselves who have given notice to sketch their own strategic profile based on how they consider that they can fulfil their intention in higher education policy. Nevertheless, we can read a fairly large degree of activity from the department, even though the Högskulen in Sogn and Fjordane primarily want to stand alone, and Bergen wants to be alone. What about the quality development of these institutions that the Council of State considers different from their own?
ParlaMint-NO_2015-02-18.ana.ud2278e1321	The analyses that form the basis for the process we have initiated are, among other things, in the Stjernø Committee, they are contained in repeated reports and evaluations carried out by both Norwegian research and Norwegian education, and not least the link between the two. Both nursing and nursing research have been evaluated, and the Norwegian chemical environment has been evaluated. That's what's at stake. When we have an active dialogue with the sector, it's because it's a prerequisite for getting into a good process. I think it would be a bad way to direct this process by sitting in an office in Oslo and drawing up a map, and then trying to tree it down to the sector. But that also means that we've been very clear about where we want to go. When I e.g. has been in Sogndal and explicitly asked not only to meet the institutions, but to have an open public meeting on this, it is precisely because we want to have a discussion about what opportunities Sogn and Fjordane and the college there are looking for, and what strengths and weaknesses they have.
ParlaMint-NO_2015-02-18.ana.ud2278e1328	Quality is central, even in the Council of State now sketching. But it's not very easy to define that term, either in this sector. We probably know more about the status of quality in research, but in education we don't have much good documentation. That's why it's unfortunate that we only get a report of quality in 2017, as far as I have understood – and at least for little use in this process. So we're in a situation where quality is little defined. In addition, institutions do not know what future framework conditions will be, what kind of funding system the government will end up with, or whether it will do something about the categories of institutions, i.e. whether we need to change the rules relating to who will become a university. And what about the great reform of vocational training, that is. for the teachers? That training shall be amended. Why is it added up to a sequence in this process that is so random, and where the goal of quality drowns in so much else?
ParlaMint-NO_2015-02-18.ana.ud2278e1337	Because these things are connected. In terms of quality of education, it is quite right that it may be difficult to find a precise measure of it. But that's the case in a number of areas. What we have, however, are indicators that might say something about it. For example, it is possible to look at character statistics versus the time spent by the students. It is possible to look at how time use varies from institution to institution. We have now introduced a pilot scheme of national delectionary examinations, precisely in order to obtain more information on quality and quality of education. Education quality is again linked to the funding system, where there has at least been agreement among several parties here that if you have a funding system that rewards too much and provides incentives for student credit production, as you might call it a little unfortunate, it can also be at the expense of quality. Finally, I would like to point out that the quality of research and the quality of education are interrelated. Indeed, it is one of the main points of higher education: that research and education should be linked.
ParlaMint-NO_2015-02-18.ana.ud2278e1350	‘University schools have contributed to the strengthening of professional training through, inter alia: increasing the number of professors and an offensive commitment to practical research. The most logical thing for the Western world is to bring together all the professional training courses in a common Western professional university with the main focus on training the future engineers, teachers and nurses of high quality. However, educational institutions feel that the most important thing is to find a partner. Has aggregation become more important than the objective of higher quality in education?’
ParlaMint-NO_2015-02-18.ana.ud2278e1357	No, it doesn't. I would also like to thank you for a question that has a lot of exciting premises in it. I'll comment on some of them later on. Aggregation itself is not more important than the objective of higher quality. The pooling structure is an instrument and not an objective, but is one of several means of achieving the objective. The representative believes that the logical thing for the West is to bring together all the professional training courses in a common Western professional university. It's an exciting idea. I'm a little uncertain about how the representative thinks about this. Is the thought e.g. to withdraw the selected education from each institution and place it under a new common umbrella? In that case, it would leave more small and vulnerable institutions than we had before the process. In addition, it is not necessarily the case that professional training is best developed by being completely isolated from other disciplines. For example, social sciences and historical-philosophical subjects may have a lot to do with professional subjects. Having said that, I agree with the representative that professional training must be brought together and strengthened. An important reason why we have started work on structural changes in the university and higher education sectors is precisely to take account of the professional professions, i.e. the professional subjects with a relatively short research tradition and which are often provided as three-year Bachelor's programmes. The challenges facing the higher education sector in general are particularly evident in these subjects. Vocational training is widespread in a large number of institutions, many of which have major recruitment problems and small trade unions. In addition, many environments with low formal competence are struggling with professional staff. At the same time, the candidates from these training courses are central to maintaining the welfare state and ensuring a good service provision in all parts of the country. In these areas of society, there are major knowledge challenges that are difficult to solve if the professional community does not accumulate anymore. Institutions responsible for the professional field need to assess whether the professional environments they have are heavy enough to develop education, practice and further the field of study. If not, they must find one or more partners with the appropriate professional profile so that they can jointly raise the professional subjects. After several institutions throughout the country have made proposals for mergers, other institutions take into account that the future institutional landscape will be different from what is now. Some institutions thus make different assessments now than they did earlier in the process. The institutions of the West are still talking together and keeping the doors open for different constellations. I trust, and I expect them to also take into account the professional subjects in their assessments. For me, it is essential that the new institutional landscape contributes to the strengthening of important professional training.
ParlaMint-NO_2015-02-18.ana.ud2278e1374	Thank you for following up several of the premises. It is quite right that there has always been a tension between investing in academic education and practical research. What we've seen in recent years is that we've succeeded in strengthening colleges to have more research-based education. There is a good dialogue between the different institutions in the West. Those who research it with aggregation say that aggregations that have been show that it doesn't have any special effect if it doesn't come from below. The high ball in Sogndal is high on both grades and performance, and they ensure local recruitment, which the Council of State was also involved in. They want primarily to stand alone, but now they feel forced to join forces. The University of Stord/Haugesund also wants to be primarily a professional university, but feels that they initially go towards the University of Stavanger. In the Western world, we experience that as it evolves now, we get the second best solution for all of them, and thus maybe not the quality that is desired.
ParlaMint-NO_2015-02-18.ana.ud2278e1387	First, a few comments about the Sogn and Fjordane High School: it's quite right that they're good at implementation, especially on Bachelor, but not so much on Master's degree. They have a little better results on the cooperation master they have with Norway's sports college, but it's a collaboration master, just so it's said. Of course, it is a relevant objection that if you had managed everything from above and drawn a new map from an office, it might, for example, be. the path to a professional university, with those institutions that could feel natural at home there — in the West, would be shorter. At the same time, there is a contradiction between the two premises in the representative's questions. On the one hand, the representative emphasises that mergers are often successful when combined on a professional basis, and that is at least some support for it locally. On the other hand, the representative speaks warmly for a solution that not so many of the other institutions have spoken for.
ParlaMint-NO_2015-02-18.ana.ud2278e1394	That's exactly what I pointed out, that the primary thing for Sogndal is to clean up their professionals and succeed well, but that they have good cooperation both against Volda and against Bergen. In the case of the University of Stord/Haugesund, they have also said that the primary focus is on professional education, but they want to go a detour around the University of Stavanger. Meanwhile, the University of Bergen will apply to the University of Bergen, which is their election number. 2nd@item: inlistbox Then it's really, if you see it from above -- I'm not concerned that you draw something on a map, but understand the dynamics that happen out there -- to be able to see the overall goal, and in the dialogue that's going on, also see what's the primary desire, and what's the best result for quality in education. In the dialogue that is taking place in the future, I hope that the Minister is not primarily concerned with referring to the effectiveness and aggregation, but that it is the quality that is in focus.
ParlaMint-NO_2015-02-18.ana.ud2278e1401	I fully agree with the last point. With regard to the constellations the different institutions have pointed out, it is true that it cracks slightly in different directions. But if you, for example, should take the idea of a professional university, or say a college of excellence – it is not clear what kind of criteria, as the representative has previously pointed out – that could perhaps become a university of excellence, e.g. like Buskerud, Vestfold, Telemark, because part of the profile of the University of Bergen's portfolio will clearly fall outside there. But then there are some very clear institutions that point out: Sogn and Fjordane have a clear professional profile, and Volda has a clear professional profile. Both of them will need to strengthen their teacher training in view of a five - year master’s training. The Bergen University has many of the same disciplines that they have in both Sogndal, Förde and Volda. I think it's a very exciting idea and I like to discuss it with the institutions, but at least Sogn and Fjordane haven't pointed it out.
ParlaMint-NO_2015-02-18.ana.ud2278e1412	‘There is now a debate on the structure of higher education institutions. The highlight of Volda is that it wants to continue on its own, but it feels a strong pressure from the government to merge. The highlight requires the professional basis for the merger to be the only option. What is the professional basis of the state councils that the High Sphere of Volda does not know?’
ParlaMint-NO_2015-02-18.ana.ud2278e1419	It will surprise me if I have any professional basis or analysis that the awakened people of Volda do not know. They are certainly immigrated in what has come from reports on both research environments and educational environments in the last 10–15 years. They have certainly read both the Starø Committee and other peer reviews of the disciplines that also involve them. The high ball in Volda is good in many areas. The Bachelor's students, for example. completes in normal time. That's good. The High School has a clear profile of journalism education as a clear point. That's good, too. But then the High School also has a number of challenges: They have a low proportion of qualified applicants per study place. – All this is otherwise public, it is nothing secret from the department. The search and recruitment, in particular for teacher training and health education, child protection education and sosionom, is a key challenge for the Høgskulen. They publish below the average for state colleges. They have a very low proportion of externally funded revenues, and very little from the Norwegian Research Council. They have a low proportion of graduate masturbators. These are signs, indicators that we need to talk about, that some of the professional environments are small and vulnerable. The majority of fascinations that have occurred since the turn of the century have pointed to very small trade unions as one of the barriers to quality. As you know, the government will aim to transform teacher training into a five-year master. The new teacher training will make even stronger demands for professorship and master’s degrees in the central schools. It will be a formidable lift for the Hochskulen in Volda to take, and I am uncertain whether they will meet these requirements on their own already in 2017, from which we have said we intend to introduce the new teacher training from. These are important things that I've discussed with the High Sphere in Volda, but I've also drawn out, as you should do, that the High Sphere has a lot to be proud of today, and that will be an important part of the future structure. Of course, Western higher education institutions must also consider the importance of major changes affecting vocational training in other parts of the country. Several institutions have submitted merger proposals which involve higher ambitions on behalf of the professional professions. New, large institutions with a professional profile will have the prerequisites to develop powerful professional environments that can challenge professional environments in the West, from Bergen to Molde. The need for changes among Western higher education institutions must be seen in the light of this as well. I think it's very good with the offer that exists in Volda, but I think it can be better, and with this process we want to facilitate stronger trade environments in the West and in More and Romesdal.
ParlaMint-NO_2015-02-18.ana.ud2278e1452	On the basis of the Government's response, the merger may seem to be the goal rather than the instrument, and at least the only instrument the government is willing to use to strengthen the pillars. I interpret the answer to the question that, at best, there is insufficient evidence that merged educational institutions provide better quality and are economically viable. The government decided early on that the purpose of the structural changes should be to improve quality. All right. But is not the government at all concerned about pressing through mergers until there is evidence that they really lead to quality improvement? And would it not be wise to evaluate the effects of next year's voluntary mergers before going on with more mergers in the sector?
ParlaMint-NO_2015-02-18.ana.ud2278e1459	As politicians, you should always have a healthy concern about the policies you implement in any case, because reforming and changing are difficult. There are always pitfalls, it's always possible to cross faults. This is precisely why it is important to have a good process, which is thorough, and not to make hasty decisions. But at some point it's also necessary to put a dot. Some of the problem in the sector is that there have been millions of dollars and lots of blood, sweats and tears in collaboration processes that have not ended up in anything but beautiful intentions — little else. Structure is one of the instruments, but it's by no means the only thing. A new funding system is an important tool for higher quality. In the case of higher education in concrete terms, they have benefited from the government’s increase in the number of scholarship holders specifically directed towards vocational training. Engineering training has now received its own pot for equipment – fixed, permanent, 30 million. kr per year. It is an important contribution, as is the long-term plan.
ParlaMint-NO_2015-02-18.ana.ud2278e1466	When the zero option is not accepted, one impression is that this may be a major centralisation reform that comes from top to bottom. It might be close to believing that the foundation for this is as economic as anything else. An interesting question, to which I have not received an answer, is: how should a better use of resources in merger be made without reducing the number of places of study or education? Does the government really want fewer campuses?
ParlaMint-NO_2015-02-18.ana.ud2278e1471	It's the government that rules the campuses, so it's not the government that goes in and controls the detail. We shouldn't. And then this isn't a reform to save money, rather it says in the government statement that we're going to spend more money on higher education. I think we should do the same. It is a good investment in both research and educational quality. Of course, changes can be difficult, and of course, there can be intersections in the sea. I was saying, you have to be blind if you don't see that this is also the case in politics, which is going to rule in a complicated world. My question back is, what is the option? For example, when colleges see that they are going to have a big boost. on teacher training, when they see that the requirements for what a professional training course should contain become higher, not because politicians necessarily require it, but because the working life and the changes in society require it, when we see that the research and linking requirements between research and education become higher – what should be the answer, if not to seek partnership?
ParlaMint-NO_2015-02-18.ana.ud2278e1476	That's when the Storting's ordinary Question Time is over.
ParlaMint-NO_2015-02-18.ana.ud2278e1489	There is no record. Thus, today's map has been processed. Does anyone require a word before the meeting is cancelled? - The meeting's been cancelled.
