ParlaMint-NO_2015-10-06.ana.ud1650e15	The representative, Jenny Klinge, will put forward a proposal for a representative.
ParlaMint-NO_2015-10-06.ana.ud1650e964	This has been a debate with a lot of focus on industrial policy. I am surprised that we have three ministers responsible for industry in Norway, and none of them have been sent to take part in this debate, either the Minister for Industry, the Minister for Fisheries or the Minister for Agriculture. Another sign of this debate is that the concept of 'transition' is supposed to be something that the blue-blue government has invented and that the business community has not been involved in in the past. There is an error ending. Similarly, the government takes the credit for finding out about the bioeconomy strategy. A presents it as if one has decided to develop a bioeconomy strategy. It will be a very important measure to create new jobs, but it is therefore the Storing that has forced the government parties to join in developing such a strategy. One can also, when one hears the debate, get the impression that under the previous government, he worked right to have a less offensive oil and gas policy. I don't recognize myself in that story, but it fits the story that best suits the day. I believe that the government has a total disclaimer of responsibility for the situation in which Norwegian industry and Norwegian workers are now in. There is much of the same disclaimer as the Prime Minister in terms of refugees and the Minister of Finance's call to the municipalities to say no. A prime minister who takes responsibility would have made it clear that this statement is not acceptable, and people are right to respond to the double communication with which the Right and the Advance Party operate. It may also seem that the government has a little difficulty interpreting what is going on around the country, whether it is about refugees, business or the discussion of community reform. So it's been presented from this pulpit, from the government parties, that the election result gave support of 88 pst. to the government's municipal reform, because one has added together the votes of the Blue Alliance and the Workers' Party, which then received 88 pst. I think it's a sylt thin use of numbers. My appeal is that the government clearly captures the outbound flows, no matter what the issue is, and that it is now time to take responsibility for the policy being pursued.
ParlaMint-NO_2015-10-06.ana.ud1650e981	Siv Jensen has now had a little more than 15 hours of debate on the subject to answer a simple but often repeated question in this debate. The representative Arnstad has asked the question, the representative Hareide has asked the question, the representative Gahr Støre has asked the question – I have also asked the question – and it must be allowed to expect the Minister of Finance to answer that question when it is so clear that so many parties on the Stortinget want answers. I'm going to be the first one to argue that there should be room, even within government cooperation, to mean different things. It pointed out to the Prime Minister in the reply earlier today. But it's still a credibility issue for a government when you talk to two tongues about something that's not just about disagreement, but is about whether or not to actually implement the decision of the Storting and the government's policy or not. The reality is that we have a campaign behind us where half of the government has been campaigning to sabotage what they want us to trust to carry them out from their council posts. Then it is reasonable to ask the Minister of Finance to clarify, here in Stortinget, what she believes today about what she herself said in August, and what her attitude to what the Prime Minister says is that we should count on the government to be united behind it. The only way to interpret Siv Jensen's lack of attendance to answer is that it is so unpleasant to answer the question that she would rather not. Then the answer from Stortinget must be that we're going to keep asking that question until we get the answer, so it's really up to the government to choose whether this should continue beyond the harvest or not. At some point we'll get an answer, but the best thing would be to get it now. SV promotes two proposals for voting today. One is the proposal that Norway should follow Germany and disregard the Dublin agreement on the return of Syrian refugees to other European countries and on the return to countries such as Italy and Hungary. Of course, I hope to receive support from several parties until today. In addition, we are promoting proposals to conclude long-term agreements with non-profit actors on the operation of asylum recipients, so that we can create stability and security for them, and to avoid that the refugee crisis leads to the commercialisation of refugees in Norway. I would encourage other parties to support those proposals.
ParlaMint-NO_2015-10-06.ana.ud1650e994	That's when the call is given.
ParlaMint-NO_2015-10-06.ana.ud1650e997	We have witnessed a very tired Progress Party these two days, a government-tired Advance Party, quite clearly. Parliamentary leader of the Progress Party was heard yesterday more as a worn-out auditor than as a parliamentary leader: the framing of different actions and little visions and little visions. We are now witnessing the greatest refugee disaster we have seen in Europe in 70 years. Then the responsible state council, Anders Anundsen, sits here, and he must be very tired when he chooses not to take the floor in this debate, which is so big and so profound for our society. The responsible state council sits here without saying a single word and obviously tries to hope that it will pass, so he will not believe anything about it in the staging room, and postpones it as long as possible. It is incomprehensible that the responsible State Council does not participate in such a debate, which is so far-reaching for the whole of Europe and for Norway. And it is incomprehensible that the Prime Minister has not received the Minister of Justice when this has been promised as a main theme of so many parties, and that the Prime Minister allows the Minister of Finance, who had it played out at the beginning of the election campaign – she was also the Council of State when she had it played out – not to clarify that it was an electoral campaign that she does not have as a councillor. Obviously the strategy has been: let the FrPs sit as quietly as possible, let them have as little views as possible, and then we'll hope that this goes over. Then it's also interesting to listen to Gunnar Gundersen, a business spokesperson in the Right, who criticises an active industrial policy. Is that what we need now is an active industrial policy – how we can launch new measures to create new jobs, just as we did in the oil and gas sector in its time, where we created our own tax rules and took our own initiatives to create new business, just as we have done in the forest sector, where we have used many fiscal instruments to create new jobs and create predictability, as we did when we spent a lot of money on three-based innovation programmes to create new products and new jobs. That's the opposite of a passive industrial policy we now need. We need an active policy where, as politicians with business, we take bold action and not just sit and hope that the macroeconomic picture will change, and things will go over. Then I have to take a little visit to the police reform. I read Varden this morning in the early days, where Bård Hoksrud – he is obviously not quite tired yet, because he is so angry at the government – says that it is completely incomprehensible that there should not be his own police officer in Telemark, and he suggests that a new police headquarters be built on the border between Telemark and Vestfold, as a compromise proposal. So dear Bård Hoksrud, the next time it comes the kind of centralization reforms, you should wake up before you vote for them, and then you should go to your own council and say: You should turn around, it was a bad suggestion.
ParlaMint-NO_2015-10-06.ana.ud1650e1008	I feel that the headline of the entire debate on the throne is very good: work, activity and change. I have the impression that there is quite a consensus in the hall. And to Trygve Schlagsvold Vedum: My point was that I mean the policy that the government is pursuing, perhaps the most active business policy you can pursue. You give everyone opportunities and build an infrastructure, build up knowledge, make everyone better able to succeed. I guess that's where the answer is. I am glad that Gahr Støre listened to my post, but he did not answer. Since many in the Workers' Party have used the chance to use the Menon report to criticise the government's tax regime, I believe that in fact you should get an answer. The first is that Menon and Grünfeld were very clear that lower taxes give rise to increased investment, no matter how the tax relief comes. So, as I said instead, it's different effect of them according to that report. Grünfeld also said that the conclusion can be reversed. So: Does the Workers' Party believe that the solution in today's situation to the migration requirement in Norway is increased taxes, which will give lower levels of investment? I would like an answer to that question. Then I also pointed out that there are two prerequisites for the conclusions of the report that are quite interesting. One is to require efficient capital markets. The second is that you assume that it doesn't matter where ownership belongs. I think both of them are very wrong. If we look at the statistics, we know that SMEs – small and medium-sized enterprises – are the ones that provide new jobs, and that is where much of the innovation in the Norwegian economy comes from. If we look at the ownership of those enterprises, there is almost no foreign ownership – in the statistics there is almost no. Foreign ownership is in the major corporations, and it is also state ownership. So there is nothing to suggest that we have efficient capital markets in Norway. Lack of capital is a major challenge for particularly small and medium-sized enterprises, on which we need to build in the future. So the Workers' Party says that it makes sense to discriminate against the capital of those companies. There is hardly any other country in the world that believes that it is a sensible strategy at a time when we are facing conversion, to discriminate against its own ownership, and in particular the ownership that may be interested in investing in that type of enterprise. I think you should actually have a little answer to that. When conversion, work and activity have been the main headline throughout the debate, one must also respond to how to provide the capital needed to build solid jobs in the future.
ParlaMint-NO_2015-10-06.ana.ud1650e1019	The representative, Karin Andersen, has spoken twice and is given the floor to a brief comment, limited to 1 minute.
ParlaMint-NO_2015-10-06.ana.ud1650e1022	SV has two proposals to do something about the major challenges we face on the refugee page. One is national, namely a new housing scheme. So that's number. 2 in the government that we are going to sabotage the settlement system we have today, which does not work well enough. This will make you unable to handle the responsibility. And the Minister for Housing and Integration is also sitting here and has not said a word. The second proposal is to deal with this in a European international context, namely to use the humanitarian clause in the Dublin Agreement in order not to return to countries where the system is in the process of collapsing. I heard the Prime Minister at the pulpit refer instead to the proposal as if it were not going to return anyone at all. I expect a little more factuality and a little more seriousness from the Prime Minister, to take that proposal seriously. It is the other European country that sees that they must now.
ParlaMint-NO_2015-10-06.ana.ud1650e1029	I have not commented on the proposal from SV at all earlier in the debate. I have commented on the statement that we should not continue to send people out in general and concentrate on registering. I still believe that if we do not return people who have not been allowed to stay in Norway, we will actually just make sure that more people come, and you weaken the institution of asylum. After listening to all the requests made by state councils, I suggest that next year's debate be done a little longer. With the number of possible places for the government to participate in the debate, we have chosen to talk about transport and infrastructure, we have chosen to talk about health and care for the elderly, we have talked about the foreign policy situation – not least in the area of security policy – and we have given the Minister of Labour a few minutes because we believe that unemployment is important. Then there is no room for so many more government councils. But if you want more speaking time, I think that all our state councils would have liked to have stood there and made posts and explained what they're doing in their areas. Then, of course, you can think that transportation is not important, that health is not important, that a special foreign policy situation with a defence situation that is different from that in many years is not important to include in the census. That's what I meant, and it's been important. There is also no tradition that the Minister of Finance is present during the debate on the throne. Most people know you're working on the financials and the budget for tomorrow. I don't think I've ever seen the Minister of Finance sitting here for a long time during some throne debate. I have, as I said, relatively long seagoing time from this hall. So I would say to the representative Myrli: there is no difference between good conditions for employees and high productivity. On the contrary, high productivity is a prerequisite for good conditions for employees. This is a matter on which the Right has been concerned for many years. Without high productivity in Norway, we are able to save neither the high wage level, the high level of private welfare nor our public welfare in the future. This goes right into a discussion we've had over many years before we got into the situation of the oil price drop we're in now, that's the need to ensure future welfare. There is nothing new – it is quite right: the need to ensure the welfare of the future, the need to convert the Norwegian economy to have more legs to stand on has been known for a long time, but the difference is that we have a government that does something about it, unlike the previous government, which every year prioritised things other than what contributed to growth capacity in the years to come. This is why it becomes even stronger when it becomes apparent that the impact and need for conversion are even faster. But there's a big difference between the transition we're facing today and the transition we've been facing in the last 30 years. Then we have replaced low-wage jobs with high-wage jobs. Now we don't know where the new jobs are coming from. This is a bigger challenge than Norway has faced in the last 30 years.
ParlaMint-NO_2015-10-06.ana.ud1650e1040	The debate on the throne is one of the most important debates in this Chamber. It's drawing the long lines, it's drawing cooperative constellations, it's dealing with the big and important questions. Two years ago, many were excited whether the bourgeois majority would end up in a four-party government, or possibly what minority government we would get. When it was clear that the Progress Party, the Right Party, the Christian People's Party and the Left could not sit together in government, one was anxious whether the Right would choose to go to the centre parties with the Advance Party as a supporting party or go to the Advance Party with the Christian People's Party and the Left as a supporting party. Right chose the Advance Party, joined the government with them and expected support from the Christian People's Party and the Left. Of course, the right could have chosen the opposite, walked towards the centre and had the Progress Party as a supporting party. It had been unlikely that the Progress Party had been the guarantor of a continued Stoltenberg government. Today there is no one in this Chamber who, after the debate, imagines that the Christian People's Party and the Left will enter the government that is now ruling. It appears to be running on board a sinking ship. What is more alarming is the incredible lack of enthusiasm that this government project radiates in this room. Where did Siv Jensen, who, after the debate on the throne in opposition, talk about all the solutions she had to health problems, in the hospital sector, in the care of the elderly, in retirement, in unemployment, in public bureaucracy and on savings in the state budget? Where did the development of industry come from? The Minister of Industry has not shown up in this Chamber – and the Minister of Agriculture, the Minister of Fisheries and the Minister of Finance, all those responsible for contributing to the growth of employment. The Minister of Labour is responsible for managing unemployment. It is a big and comprehensive task – with this government there is a 22 year record in unemployment. And so the Minister of Finance does not participate. The question asked by many from the Workers' Party, namely whether it is acceptable for a member of the government to go out actively and encourage municipalities to sabotage a decision on the gross domestic product, has not yet been answered. To put it at the head: Is it acceptable for some government council to go out and recommend that municipalities not follow up on the Storting decision on climate action because they do not believe in climate change? Is it acceptable for one of the councils to go out and encourage the municipalities not to hire more teachers because you do not believe that the density of teachers contributes to learning, although the Stortinget has decided – with the help of the Christian People's Party – that it should be a field of activity? Of course, it is possible for a party leader to have opinions about his or her politics and party, but it is part of a completely historical exception that a government council, which is even no. 2 in the government, calls for a decision not to be taken in the municipalities. Since Solvency Horne is the next speaker, there is reason to ask: Does Siv Jensen's call to the municipalities not to settle refugees her job more easily, or does it make her job more difficult?
ParlaMint-NO_2015-10-06.ana.ud1650e1051	I can assure the Storting that this throne debate has actually followed. I was here yesterday, and I've had it in my office the hours I've been there, and I've followed enthusiasm in this debate around it with housing and integration – a demanding, challenging situation that we all face. Sometimes, when you hear the debate, you wonder if a person lives in two different worlds. Some representatives have argued that it is arduous, that the councils look worn out. Yes, it is arduous to be a councillor, but God better how fun it is too, and so interesting, and as much as you are allowed to do! And so it's a demanding situation, and we work every day to do something about the refugee situation that we're in. Two years ago, this government took over. Then over 5,000 were received, an inheritance from the previous government. There was an increase in people who stayed from 2011 to 2013. Where, then, was the exposure from this hall and from the government? So we've done something every day. We have asked all municipalities – not just medium-sized and large, but all municipalities – to participate in the housing process. We have increased the integration grant, we have increased the housing grant to Husbanken, we have met with many rapporteurs and with municipalities – eight dialogue meetings – to hear what municipalities need. So it's voluntary residence in this country. I have not heard any party now, except SV, that goes for another model. If we are to succeed in the settlement and integration, then we must also listen to the municipalities: what do they need, and what capacity do they have out there? On the day that the TV lights are switched off and this no longer has the news interest, the local authorities have to do the work. Integration work, getting them into work, getting them into education and becoming a part of society, is not something that municipalities can do alone. They have to do this with Nav, together with business, with volunteering and with government. I can assure the Storting that this is a work that the entire government takes very seriously. It also shows the additional proposition we promoted for 2015, and it also shows the work we have to do in 2016. But as Minister of Integration, I also want the Stortinget to take on board the fact that this work is being done in the municipalities. We need the municipalities on the team, and the municipalities need to get what they need. So it's voluntary settlement, and it's about the capacity of the individual municipality. The work we are now facing is going to be demanding, and it's going to be challenging for everyone.
ParlaMint-NO_2015-10-06.ana.ud1650e1068	It was nice to find out that the Swedish Council of Solvency Horne disagreed with the party leader, Siv Jensen. What we're waiting for then is what Minister of Finance Siv Jensen thinks about party leader Siv Jensen, and I understand from the Prime Minister that we still have to wait for, and then we'll have to take the next opportunity to bring it up again. That's what the government itself takes. Of course, it would have been possible for the Minister of Finance to answer that question yesterday or today. When I spoke again, it was because the Prime Minister was in both the SV's Dublin proposal and the debate on broadcasts. It might be interesting to know what the Prime Minister now thinks about Dublin returns, because Germany has thus stopped returning Syrian refugees and stopped returning to countries like Italy. We believe it would be a solidarity act right now to those countries that bear the greatest burdens, and to refugees who do not receive good enough treatment in some of those countries. Before the Storting should vote on that proposal, it might be interesting to know whether the Prime Minister still categorically rejects it, or whether this is something the government will consider. So no one has said – and that's not what I said yesterday – that no one should be sent out of Norway. We are strong followers of the fact that those who have no reason to stay in Norway are sent out. But what I was talking about yesterday was the message of concern that came from the trustees of the Police Foreign Unit, that they are using so much force on the figures they have received for broadcasts from the government, that it goes beyond the possibility of prioritising the criminals, who are the ones we all want out, and of identifying and registering in connection with the high number of arrivals of asylum seekers. State Secretary Jøran Kallmyr said on News Day 18 a short time ago that the government and the department would assess these figures, and then I am a little surprised that the Prime Minister does not repeat what the State Secretary from the Progress Party said, but instead almost categorically rejects the fact that something is going to happen with these priorities. So that's what we wanted yesterday. Finally, a small explanation of vote: the SV Group will vote in favour of the Christian People's Party's proposal relating to the refugee situation, which we think is good. We will also vote in favour of the two proposals from the Left. The left and SV have worked together for a lobby register for many years, and it is natural for us to vote for the two proposals.
ParlaMint-NO_2015-10-06.ana.ud1650e1082	The Prime Minister said that in order to allow more people to do so, it might be necessary to change the speaking time of the state councils. That's for the presidency to assess. Let me start by saying that it was a good throne speech, with important emphasis on different themes. I thought the weight was good, but it's interesting that when one of the major issues is the refugee disaster, we haven't heard the Minister of Justice. We now heard the Minister for Integration all the time, in a three-minute time, where she almost saw herself forced to respond on behalf of her party. And so we cannot hear the Minister of Finance – after the party has asked to hear her after the party! Others have sat longer in the Storting than I have done, but when it's the opposition's debate and the opposition asks to talk to a councillor who's in the house, and we don't get it – well, what conclusion are you going to draw from it? Yes, Solveig Horne, it's interesting to be the Council of State, I agree with that, and the enthusiasm you show for integration, I think is affordable, and it also deserves the Council of State praise. But there must be reason to ask questions about what she does and encourages – the settlement is to take place in the municipalities – that is, the party leader, who says to the municipalities: Don't live! And by not settling, you can prevent the implementation of the Syria agreement. It stands as a matter before the debate, during the debate and after the debate, and it is, in my opinion, an even greater matter when it comes to the debate, that, after these hours, one has not been able to give an answer. To Gunnar Gundersen, who doesn't – well, there he is, in the background: the taxes are going down, it gives increased investment. That's the clock faith right there, and you can ask the question, how far down? Can we expect that the wealth tax, which is such a big problem, will be abolished in tomorrow's budget? Is that about right where it is now? Our point has been – and this confirms the Menon report – that if you choose to do something about taxes to promote investment, you have to start elsewhere. The taxes on wealth are going down a great deal. The point is the alternative use of money. So last year's budget suggested, as we remember, that 50 pst. the cuts were to be given below the 5 pst. richest – 60 pst. Of them, pensioners – and it can probably get along, but if there are more investments, will there be more jobs? So we don't think so. And I have to remind you, because he stresses the importance of small and medium-sized enterprises: yes, they are important. So they became 350,000 more jobs during our reign – two out of three in the private sector – and when you took over power, Norway was the sixth best country to invest in, according to the World Bank. There's reason to remember this, because the more you face challenges in this government, the more you get busy in those years. And we'd be happy to answer for them anytime and anywhere, but you're responsible for this guard, and it's about looking forward to 2020, and you're going to face criticism from us for wrong choices. Tomorrow there will be a draft tax reform, and I repeat: the Workers' Party is open to a broad agreement for a good tax system that promotes good investment, is redistributive and contributes to the financing of the fragmented welfare state.
ParlaMint-NO_2015-10-06.ana.ud1650e1097	The President reminds the representative Gahr Støre that the speech should be addressed to the President, and not to individuals with ‘you’.
ParlaMint-NO_2015-10-06.ana.ud1650e1100	This is the day before the big day when the budget comes, and I also think, naturally, the debate has been influenced by it. Norway is facing major challenges. It also shows this debate. I think the last post to Jonas Gahr Støre so far is promising in this way, for if a rattles away much of the rhetoric, there are two major challenges this throne debate has been about. One is how we can rust Norway best for the future – how we can convert, how we can create new activity and a green shift, and help to keep the oil industry important, but that we also have more legs to stand on. It's gone again. And then there's been a discussion, of course, about who discovered the need for conversion first, and someone thinks that conversion happens anyway. We'll get a government budget tomorrow that's going to address these questions in a very good way, of course, I think. That will be a good opportunity for debate. The second main theme that has gone on again is the very serious and tragic situation we have, with the refugee crisis, with civil war in Syria, with a world that has been in total change, really, in the last two years, where one has experienced tragedies that one did not think was possible in such proximity to Europe as one now sees, where millions of people are fleeing, and where Norway, as a humanitarian power, is doing its best to contribute — both in the neighbourhoods and by showing generosity and concern for those who come here to the country. The Prime Minister announced in his speech today that there will be an additional proposition. The budget could not take account of the explosion we have seen in the last few weeks, by the fact that almost 5,000 asylum seekers have now arrived in September, most of them from Syria. It will give the Storting ample opportunity to discuss, and I look forward to that debate beyond the fall and hope that it will be shaped by the cohesion and the spirit of virtue that this country actually deserves. The proposals presented, the first three, deal precisely with the refugee situation, with immigration. We want to take this debate when we get this supplementary proposition, so we want to vote against it today. Proposals Nos. 4 and 5 from the left are repeaters who have previously not voted for and have not intended to vote for now.
ParlaMint-NO_2015-10-06.ana.ud1650e1113	Solved Horne talked about two different worlds, that was the entrance to the post. Obviously, here you live in two different worlds – we in Stortinget and those in the government. But there must be two different worlds in the government, for many of us sat and followed closely what Siv Jensen said when she opened the election campaign of the Progress Party, such as the Minister of Finance and the Council of State: «The more municipalities that say no, the greater the possibility of the agreement not being implemented». It was Siv Jensen – party leader Siv Jensen – his world. Then comes the Progress Party Council Solvency Horne in its world: we have asked all municipalities, large and small, to settle. We've been standing day and night. We have increased the integration grant. We're doing everything we can to make the most of our living around all the municipalities in the country. I wonder if it is a new parliamentary or party practice that what the party leader says has no weight. If the party leader says that, it means nothing. The fact that the Minister of Finance says that doesn't mean anything. It's my world as a Minister of Integration who matters, and we're running on and giving the bluff in what the party really means. The Prime Minister should also get the government number two to say that, of course, what I said at the beginning of the election campaign was wrong to say. In fact, there are a lot of refugees here now who need a place to live, and we have to use all the power, regardless of the party color, to get it done, because people are here now, whether we like it or not, and more will be. And we have to do the job. If there are two different worlds, then in the government there are two different worlds – there is one party that still has some energy left, and one that is soon completely empty of energy. Right now I'm a little excited. It's interesting to hear Gunnar Gundersen, a nutritionist in the Right, talk about the macro-economic. But he forgets one thing that really pleased me with the languages of the throne, and that was the emphasis that we had our own currency. It went on again both in what the King read, and in what Torbjørn Røe Isaksen read, that it was a main explanation that we managed to make the transition that we can now, that having our own currency has increased our competitiveness. Not least, it has benefited from the type of industries in which it operates in parts of the inland, forest sector. One main reason why things are going a lot better in places where things went a little bit worse before is that we've got a lower price. The Prime Minister, who is so opposed to referenda, should be happy that people said no in 1994, and be happy that she did not get through to her dream of introducing the euro into Norway, because now it is a main instrument that we actually have our own currency, that we have our own monetary policy, and that we can therefore actively use it when we are going to convert Norway into an even better country to live in.
ParlaMint-NO_2015-10-06.ana.ud1650e1122	I can assure the representative Schlagsvold Vedum that I am not empty of energy, but I think it is actually the first time in my life that I have been mentioned as an accountant. [[Laughter]] First of all, the government is responding to the Storting in this room, and in terms of the decision of the Storting, the government has said that it will be followed up. Let's do it. Every government follows up the decision of the Storting. That is the visit I have planned to take to that matter. So to reforms: yeah, I formally bubble over by enthusiasm for the project we're in, because now we're finally going to be able to make some changes. We're going to have a near-police reform in place. The centre party is, of course, against. We're going to have a railway reform in place. The centre party is, of course, against. We have been given free treatment options in the field of drugs and psychiatry. The centre party is, of course, against. We have notified a national health and hospital plan. The centre party has announced that they are skeptical. We have put in place a road company that we are doing. Of course, the center party is skeptical. Yes, in the field by field after field, the government proposes a number of new measures. We come up with a number of simplifications and red tape, we've made sure that there's a new place in agriculture, that it'll actually pay to produce food. Of course, the centre party is skeptical and opposed. I have a suspicion that it is not the people of the Progress Party who are tired, but the people of the Centre who are tired, because you say no to everything. I have not heard Battle Violence Vedum say that he and the Center will vote for one of these reforms. It's no, no, no, and no. But of course, it's very often the easiest thing to do when you don't want to change. I think it is very nice that Battle violence Vedum has been given some rest after his reign. While he looked awfully tired out in recent years, and the government was very tired and did not come up with any reforms, this government actually wants to make changes, come up with measures so we can get a step further. We need to change, we need to take action to meet the future, but then we can't dig our head down into the sand and hope that everything should be like it always has been when you take your head up again. With regard to the proposals on the table, the Progress Party will vote against all. [[Laughter]]
ParlaMint-NO_2015-10-06.ana.ud1650e1137	Trond Giske has had the word twice before and gets the word for a short remark, limited to 1 minute.
ParlaMint-NO_2015-10-06.ana.ud1650e1140	This hall can't be done with what the Progress Party says about immigration. We just have to live with the fact that the representative Tybring-Gjedde believes that Islamisation is already underway. We must live with the fact that the Vice-Chairman of the Progress Party at the national meeting of the Progress Party chooses a clothing with sea motifs and 'Good journey' while the dead children are washed ashore on the shores of the Mediterranean. This is the case of the Progress Party. But a state council must follow Storting's decision and Storting's policy. When a government council doesn't, it's the prime minister's responsibility to make sure you do it. The Prime Minister addressed formalism when she said that Siv Jensen could not answer here today. That's wrong. Paragraph 57 of Stortingen’s Rules of Procedure states that government members participate in major debates in the same way as depositors. She can take a three-minute post at any time, she can take another three minutes, and she can take a short note. It is only in the agreed blocs of five minutes for the parties that the Council of State has measured time. She could say yes or no in seven minutes on this pulpit.
ParlaMint-NO_2015-10-06.ana.ud1650e1147	Social violence Vedum has had the word twice before and also gets the word for a short note, limited to 1 minute.
ParlaMint-NO_2015-10-06.ana.ud1650e1150	The party of progress and the centre were almost evenly larger in the autumn's choice. Unlike the Progress Party, we want emergency preparedness near where people live. It was not without reason that the Progress Party in More and Romesdal went on the election bell of the times. People don't want that centralization of hospitals, police, hospitals and schools. If the Progress Party is now thinking of continuing this centralization reform that we are now in, where everything is going to get bigger, where it's going to be removed from people, I think soon we can't say we're equal, because people aren't too centralization. Today I saw to my great joy that Mr. Bård Hoksrud, the great representative of Telemark, has turned around and believes that it is very wise to do as the Central Party has said, that we should have police preparedness near where people live. If the Progress Party does not turn around soon, there will be more, and everyone is welcome.
ParlaMint-NO_2015-10-06.ana.ud1650e1159	One thing I agree with Mr Vedum's representative is that the preparedness must be there for people to live. But that doesn't necessarily mean that because you have a house or a building there, the readiness is where people live. That's what it's all about. The reform of the police calls for more policemen to be available and to be able to respond quickly. I think that's very important. So I actually don't think the Tryg Battle Force Vedum could have read the Varden very well. He's at least read parts of what it's all about, because it's like when you come from a state and represent a state and you don't get up in the fight, and you choose that it's the professional reasons to base the steps you're doing, then I actually think it's right as a politician to ask the question, do we do things wrong? Should we perhaps do things differently to succeed in getting things to our state? That is what Telemark wants. What are we going to do to ensure and ensure that in the future we get many of the important services that we want to have of the main functions on in our county? It's completely possible to do that, and that's exactly what we're doing right now. It's a hearing now on where the police officers are going to be located. That means that it is possible for both states and others to make representations on how to succeed in getting it to their state or to their region. And we're going to do that in a good way in Telemark. So Schlagsvold Vedum thought that we are empty of energy – I am definitely not empty of energy. I have a lot of energy and I'm looking forward to the next two years here. You're going to notice that there's still a lot of energy here. As for the forest sector, on which the Battle of Vedum was in, it is very happy in this government and very happy in the Minister of Agriculture and Food and in the Minister of Transport who has made sure that what was a trial arrangement for eight years with the Centre Party has actually become a permanent arrangement. The regulatory framework has been streamlined and simplified so that a new section for the carriage of 60 tonnes can be approved more quickly. So it shows a government that delivers and that makes it easier for business as well as for ordinary people – and I'm proud to be a part of it. And it is definitely such that, with the Progress Party Councils in these departments, you will actually be pleased with Trygve – excuse me, President, in the representative Battle Violence Vedum! But it's sadly so that Battle violence Vedum has one lead, and that's to be against everything that's new, all of the reforms, all that's new. I'm really glad we're going to have a rail reform, I'm really glad we're getting a new road company in place, and not least I'm really glad that we're getting reduced tolls through a toll reform. The centre party voted against all of it. Get a little more involved in making things more efficient and more rational!
ParlaMint-NO_2015-10-06.ana.ud1650e1172	The President would also like to accept these kind of expressions of love, as they cannot be addressed to individuals.
ParlaMint-NO_2015-10-06.ana.ud1650e1176	I'm not sure if I accept the same statements, but what I want to say to the representative Nesvik is that we're not going to say no, no, no today. We will vote in favour of the own proposals of the Christian People's Party, and we will also vote in favour of the SV's proposal No. 1st@item: inlistbox I actually summed up the debate in my previous post, but when I heard the councillor, Solvency Horne, saying that we need the municipalities on the team, I wanted to say two things. It's OK for Solvency Horne – she's been able to bus more than the previous government actually did. But then there's also a paradox that the government's number two in August invited the municipalities to do the opposite. It's incomprehensible to me. But the more happy I am that the Prime Minister has today taken the lead in the refugee and asylum debate. She did that with her posts today, and it's unusually important for the Christian People's Party.
ParlaMint-NO_2015-10-06.ana.ud1650e1183	I have received a lot of energy from listening to the Battle of Vedum, and there may be a need for clarification. The representative, Battle Violence Vedum, was concerned that there was a need to be prepared where people live. Yes, that is what this police reform is all about – using police capacity, police resources in the district, where people live, turning administrative services into more efficient police services, so that the security of the individual out there is better taken care of. With regard to the other reforms that have been referred to, it's just that we're going to get more money back. If there's one thing that's going to be challenging in the years that come, when we see what happens, it's getting enough money to solve the challenges that we're facing. Then we have to work smarter. Then we'll have to change. And we have to think differently. When the representative Schlagsvold Vedum also referred to my major auditors – or lacks such – it was like a call, as a question, because the government was challenged by what kind of action you want to take to meet the developments we see, especially from East-Agder and along the coast up to More and Romesdal, where we have an increasing unemployment rate. Then I went through the point after the point that the government wanted to implement. And tomorrow night. Ten come the government with its government budget. Then the representative Schlagsvold Vedum will also be able to see what lies behind different measures, and then we will see if Battle Violence Vedum is able to say yes to any of them, or whether he will say no to anything then.
ParlaMint-NO_2015-10-06.ana.ud1650e1194	The centre party can assure the representative Hoksrud that we have read Varden carefully. In fact, what is in Varden is that the representative of Hoksrud now has to fight against what he and his party have voted in favour of in Stortinget. They have voted in favour of centralisation of police districts, and the number goes down from 27 to 12. And when you're going to discuss where to put the 12, Hoksrud is going to start fighting against his government, which is proposing the Drammen. I fully agree with the representative Hoksrud that it is far too far from Drammen to Kristiansand, but it could have been solved easily by having a police district in each state, as the police analysis also suggested, and which was the Central Party's alternative during the debate. It's the whole project with first voting for something and then starting lobbying against what you voted for, which is part of the problem here for the Progress Party. Then the representative Nesvik has been concerned that the Central Party has said no to the reform. Yes, of course, we are saying no to this kind of centralizing reform that the police reform is. Everyone knows that the word 'near-police' is a great curiosity; there is nothing close to that reform at all. It's gonna be a car and phone police. The next blow and difficulty for the government parties is likely to come when the offices of 100 to 130 members of the government that exist today are to be closed down. Then the individual Progress Party representative will come running to fight for the maintenance of his Länsmannskontoret. We hope that we will have Hoksrud's support for the proposal that the Central Party has put forward today in the Stortinget, which is that it is the Stortinget who is to decide the location of police districts, as the Stortinget has always done before the majority in this Chamber suddenly made it a matter for bureaucrats in a directorate.
